SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
3IINFOTECH,EQ,152.15,152.9,148.55,150.25,150.5,147.85,1359201,204507542.4,1-OCT-2007,
3MINDIA,EQ,1750.05,1816,1750,1810.55,1790.1,1813.7,42553,76595592.4,1-OCT-2007,
AARTIDRUGS,EQ,76.05,78,75.4,77.55,77.7,76.05,2902,222064,1-OCT-2007,
AARTIIND,EQ,32.4,32.4,31.5,31.75,31.5,31.9,57542,1833294.75,1-OCT-2007,
AARVEEDEN,EQ,72.05,78,72,77.4,77.2,74.25,4657,350661.1,1-OCT-2007,
ABAN,EQ,3510,3564.8,3420,3511.25,3480.1,3504.5,88956,313597452.35,1-OCT-2007,
ABB,EQ,1293,1328,1291,1306.45,1305,1296.45,253394,330815090.2,1-OCT-2007,
ABGSHIP,EQ,649.55,666,648,661.65,665,646.4,31139,20509172.4,1-OCT-2007,
ABIRLANUVO,EQ,1540,1616,1495,1597.9,1578.85,1524.4,416003,657959931.15,1-OCT-2007,
ABSHEKINDS,EQ,21,24.75,20.9,24.45,24.1,20.6,2822481,66635166.4,1-OCT-2007,
ACC,EQ,1205,1226.3,1190.2,1210.2,1205.05,1197.1,775573,939932047,1-OCT-2007,
ACE,EQ,353,356,348.7,350.15,350,352.4,15862,5568811.95,1-OCT-2007,
ADANIENT,EQ,567.4,639,565,615.2,620.1,556.35,1951752,1176791143.4,1-OCT-2007,
ADHUNIK,EQ,98,106,97.05,101.5,102.1,96.3,789871,80410450.15,1-OCT-2007,
ADLABSFILM,EQ,523.8,571,520.4,560.4,560.5,519.1,818966,454816556.05,1-OCT-2007,
ADORWELD,EQ,265,265,255.4,260.1,260,262.8,11637,3032763.8,1-OCT-2007,
ADSL,EQ,380.45,420,376,400.35,401.05,377.65,452761,180638821.6,1-OCT-2007,
ADVANIHOTR,BE,375,380,375,380,380,387.35,150,56500,1-OCT-2007,
ADVANTA,EQ,1087.95,1097,1039.9,1057.6,1050,1068.1,19535,20810040.8,1-OCT-2007,
AEGISCHEM,EQ,160,162.45,158,158.25,159.5,159.05,11585,1849127.25,1-OCT-2007,
AFL,EQ,75.9,80.7,71,80.55,80.7,73.35,274096,21540304.85,1-OCT-2007,
AFTEK,EQ,76.15,77,74.05,74.55,74.2,76.6,326397,24455087.8,1-OCT-2007,
AGRODUTCH,EQ,30.95,31.5,30,30.85,30.95,30.05,100732,3088081.85,1-OCT-2007,
AHMEDFORGE,EQ,220,224.6,217,219.95,220,219.55,15133,3330110.4,1-OCT-2007,
AIAENG,EQ,1350,1360,1325,1327.75,1326,1341.85,16098,21444575.25,1-OCT-2007,
AICHAMP,BE,79.7,79.7,76,78.9,78.9,75.95,780,60883,1-OCT-2007,
AIRDECCAN,EQ,149.9,152.3,146.1,148.85,148.65,146.3,1007192,150710400.5,1-OCT-2007,
AJANTPHARM,EQ,104,105.5,99,104.85,104.25,101.15,17968,1858656.4,1-OCT-2007,
AKRUTI,EQ,716,728,704,710.55,708.1,714.55,45109,32048071.6,1-OCT-2007,
AKSHOPTFBR,BE,55.5,56.5,54.75,55.7,56.4,55.15,62246,3462572.45,1-OCT-2007,
ALBK,EQ,109,112.7,108.2,109.1,108.95,108,1792790,198208854.45,1-OCT-2007,
ALCHEM,EQ,81,82.5,80.2,81.35,80.65,80.4,32551,2635336.7,1-OCT-2007,
ALEMBICLTD,EQ,82.25,83,80.35,80.75,80.35,82.1,123502,10113623.8,1-OCT-2007,
ALFALAVAL,EQ,985,1000,983.5,1000,1000,980.75,1076,1066522.3,1-OCT-2007,
ALLCARGO,EQ,925,929,905,922.45,920,909.85,22900,20998780.6,1-OCT-2007,
ALLSEC,EQ,153.95,153.95,148,149.15,148.8,148.3,10407,1556314.55,1-OCT-2007,
ALOKTEXT,EQ,71.2,73.5,70.2,71.7,71.75,71.2,577395,41460604.85,1-OCT-2007,
ALPA,EQ,44.85,45.8,44.6,44.8,44.6,44.6,38253,1722207.75,1-OCT-2007,
ALPHAGEO,EQ,485.5,514.4,480.05,514.4,514.4,489.9,7766,3908653.9,1-OCT-2007,
ALPSINDUS,EQ,51.85,52.5,50.2,50.85,50.85,50.65,25722,1316139.75,1-OCT-2007,
AMAR,EQ,34,34.5,33.6,33.85,33.85,33.9,59473,2025847.7,1-OCT-2007,
AMARAJABAT,EQ,136.1,141.1,135,140,140.1,135.9,101392,13984371.9,1-OCT-2007,
AMBICAAGAR,EQ,17.45,18.9,17.45,18.9,18.9,17.15,99772,1868599.25,1-OCT-2007,
AMBUJACEM,EQ,144.5,148.9,143,148,148,144.5,2126461,313177756.4,1-OCT-2007,
AMDMET,EQ,39.75,42.9,39.75,41.75,42,41.6,20869,873159.6,1-OCT-2007,
AML,EQ,43.35,45.3,43,44.55,44.5,43.05,21215,938281,1-OCT-2007,
AMTEKAUTO,EQ,361.35,378.8,357.15,376.85,377.2,361.35,393820,143753297.95,1-OCT-2007,
AMTEKINDIA,EQ,157.5,162.5,157.1,161.85,162,159.35,67493,10875668.7,1-OCT-2007,
ANANTRAJ,EQ,1520,1595,1470.25,1558.25,1554.1,1510.25,5560,8588226.1,1-OCT-2007,
