SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,56.4,57,54.1,54.65,54.45,55.9,196209,10897689.8,08-DEC-2017,1847,INE144J01027,
3IINFOTECH,EQ,3.9,3.95,3.85,3.85,3.9,3.85,1945433,7553831.25,08-DEC-2017,554,INE748C01020,
3MINDIA,EQ,15617.85,15850,15613.65,15722.55,15711.1,15610.35,371,5840294.25,08-DEC-2017,148,INE470A01017,
5PAISA,EQ,227.55,227.55,227.55,227.55,227.55,216.75,6710,1526860.5,08-DEC-2017,79,INE618L01018,
63MOONS,EQ,91,101.9,91,96.6,97.25,94.8,3133074,306808491.85,08-DEC-2017,24884,INE111B01023,
8KMILES,EQ,950,966,924,932,929,942.05,250891,237708260.5,08-DEC-2017,9143,INE650K01021,
A2ZINFRA,EQ,39.65,40,38.75,39,38.8,39.5,974072,38260924.4,08-DEC-2017,2919,INE619I01012,
AARTIDRUGS,EQ,570,570,551.6,555.75,555,561.3,6736,3764438.05,08-DEC-2017,325,INE767A01016,
AARTIIND,EQ,884,888,875,881,882,878.6,33606,29638605.65,08-DEC-2017,3138,INE769A01020,
AARVEEDEN,EQ,47.9,48.65,46.6,47.4,47.2,47.85,32707,1558276.6,08-DEC-2017,210,INE273D01019,
AARVI,SM,109.5,110,109.5,110,110,104,6000,659000,08-DEC-2017,3,INE754X01016,
ABAN,EQ,192.3,195.9,192.05,192.55,192.4,191.85,596493,115492948.55,08-DEC-2017,7476,INE421A01028,
ABB,EQ,1371,1389,1338,1342.95,1345.35,1368.05,63384,85893027.35,08-DEC-2017,4157,INE117A01022,
ABBOTINDIA,EQ,5645,5659,5545.65,5643.2,5634,5591.15,4213,23690005.95,08-DEC-2017,1355,INE358A01014,
ABCAPITAL,EQ,191,191.4,188.15,188.9,188.25,189.25,3024776,573748414.15,08-DEC-2017,62871,INE674K01013,
ABFRL,EQ,170.3,171.65,166.5,170.9,171,170.1,513486,87118824.7,08-DEC-2017,8002,INE647O01011,
ABGSHIP,BZ,13.65,14.3,13.5,13.75,13.9,13.7,57054,795783.8,08-DEC-2017,262,INE067H01016,
ABMINTLTD,BE,41,41,38.95,38.95,38.95,41,672,26842.65,08-DEC-2017,14,INE251C01017,
ACC,EQ,1708,1760.05,1702.55,1746.95,1747.5,1703.45,317725,550891868.85,08-DEC-2017,13583,INE012A01025,
ACCELYA,EQ,1390,1435.3,1387.55,1413.5,1420,1398.25,9255,13032540.95,08-DEC-2017,731,INE793A01012,
ACE,EQ,147.25,149.9,142.25,144.3,144.8,145.85,981988,144342753.3,08-DEC-2017,8811,INE731H01025,
ADANIENT,EQ,149.2,152.55,148.6,151.05,150.8,147.55,5248995,789404146.9,08-DEC-2017,29722,INE423A01024,
ADANIPORTS,EQ,391.5,396.9,391.2,393.4,392.55,389.7,3282945,1294465963.05,08-DEC-2017,45439,INE742F01042,
ADANIPOWER,EQ,35,35.55,34.75,34.95,34.95,34.8,17501687,613106259.65,08-DEC-2017,30959,INE814H01011,
ADANITRANS,EQ,196.95,200,192,195.3,196,195.55,964681,188485447.25,08-DEC-2017,11475,INE931S01010,
ADFFOODS,EQ,318.35,319.7,312,313,312.2,317.05,274991,86697049.25,08-DEC-2017,5232,INE982B01019,
ADHUNIK,EQ,4.15,4.4,4.15,4.35,4.35,4.25,45571,195399.75,08-DEC-2017,606,INE400H01019,
ADHUNIKIND,BE,79.95,80.45,78.05,80.45,80.45,76.65,10414,834354.15,08-DEC-2017,81,INE452L01012,
ADLABS,BE,67.9,68,66.3,67.45,67.2,66.7,23034,1551733.3,08-DEC-2017,189,INE172N01012,
ADORWELD,EQ,502.05,514,496.45,499.5,496.55,498.35,31831,16072452.35,08-DEC-2017,1234,INE045A01017,
ADSL,BE,24.5,26,24.5,25.25,25.5,25.4,56446,1431308.5,08-DEC-2017,130,INE102I01027,
ADVANIHOTR,EQ,73.45,74,71.6,72.35,72,72.6,22839,1668313.15,08-DEC-2017,243,INE199C01026,
ADVENZYMES,EQ,289,291.4,281.9,283.3,283,287,294304,84441413.55,08-DEC-2017,5280,INE837H01020,
AEGISCHEM,EQ,260,263,252,255.75,255.05,259.95,322255,83112165.75,08-DEC-2017,4771,INE208C01025,
AGARIND,BE,621,622.35,608,622.35,622.35,592.75,7802,4820969.55,08-DEC-2017,71,INE204E01012,
AGCNET,EQ,133.9,151.6,126.8,147.85,147.15,134.1,319125,45706696,08-DEC-2017,4451,INE676A01019,
AGLSL,EQ,120,123.95,120,120.75,120.9,120,9756,1176298.95,08-DEC-2017,89,INE517U01013,
AGRITECH,EQ,122.5,123,118.3,120.05,120.2,120.25,20836,2542044.45,08-DEC-2017,281,INE449G01018,
